model,dataset,rougeL,rouge1,rouge2,summary,reference
falcon-7b,d0rj/samsum-ru,0.0,0.0,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Ханна: Эй, у тебя есть номер Бетти?
Аманда: Дай мне проверить
Ханна: <file_gif>
Аманда: Извините, не могу найти.
Аманда: Спроси Ларри
Аманда: Он позвонил ей в прошлый раз, когда мы были вместе в парке.
Ханна: я плохо его знаю
Ханна: <file_gif>
Аманда: Не стесняйся, он очень милый.
Ханна: Если ты так говоришь...
Ханна: Я бы предпочла, чтобы ты написал ему
Аманда: Просто напиши ему 🙂
Ханна: Угу.. Хорошо.
Ханна: Пока
Аманда: До свидания
Краткое содержание: Я на вашей стологе на вашей стологе
Ханна: Я на вашей стологе
Ханна: Я на вашей стологе
Ханна: Я на вашей стологе
Ханна: Я на вашей стологе
Ханна: Я на вашей стологе
Ханна: Я на вашей стологе
Ханна: Я на вашей стологе
Ханна: Я на вашей стол�","Ханне нужен номер Бетти, но у Аманды его нет. Ей нужно связаться с Ларри."
falcon-7b,d0rj/samsum-ru,0.0,0.0,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Эрик: МАШИНА!
Роб: Это так здорово!
Эрик: Я знаю! И показывает, как американцы видят русских ;)
Роб: И это действительно смешно!
Эрик: Я знаю! Мне особенно нравится часть поезда!
Роб: Ха-ха-ха! Никто так с машиной не разговаривает!
Эрик: Это его единственный стендап?
Роб: ИДК. Я проверю.
Эрик: Конечно.
Роб: Оказывается, нет! На ютубе есть несколько его стендапов.
Эрик: Гр8! Я буду смотреть их сейчас!
Роб: Я тоже!
Эрик: МАШИНА!
Роб: МАШИНА!
Эрик: ТТИЛ?
Роб: Конечно :)
Краткое содержание: МАШИНА!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Эрик: Я тоже!
Э",Эрик и Роб собираются посмотреть стендап на ютубе.
falcon-7b,d0rj/samsum-ru,0.0,0.0,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Ленни: Детка, ты можешь мне чем-нибудь помочь?
Боб: Конечно, что случилось?
Ленни: Какой выбрать?
Боб: пришли мне фотографии
Ленни: <file_photo>
Ленни: <file_photo>
Ленни: <file_photo>
Боб: Мне больше нравятся первые
Ленни: Но у меня уже есть фиолетовые брюки. Есть ли смысл иметь две пары?
Боб: У меня есть четыре черные пары :D :D
Ленни: да, но разве я не должен выбрать другой цвет?
Боб: важно то, что вы предоставите вам больше всего вариантов одежды
Ленни: Тогда, наверное, я куплю первую или третью пару.
Боб: Тогда выбери лучшее качество
Ленни: ты прав, спасибо
Боб: без проблем :)
Краткое содержание: на нем нужно настройть на нем нужно настройть на нем нужно настройть н�гройно н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�гройть н�","Ленни не может решить, какие брюки купить. Боб консультировал Ленни по этой теме. Ленни следует совету Боба и выбирает брюки самого высокого качества."
falcon-7b,d0rj/samsum-ru,0.0,0.0,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Уилл: Привет, детка, что ты хочешь сегодня на ужин?
Эмма: хах, даже не волнуйся об этом сегодня вечером
Уилл: что ты имеешь в виду? все в порядке?
Эмма: не совсем, но все в порядке, не беспокойся о готовке, я не голодна
Уилл: Хорошо, во сколько ты будешь дома?
Эмма: скоро, надеюсь
Уилл: ты уверен? Может быть, ты хочешь, чтобы я забрал тебя?
Эмма: нет, нет, все в порядке. Я скоро буду дома, я скажу вам, когда я вернусь домой.
Уилл: Хорошо, люблю тебя.
Эмма: я тоже люблю тебя.
Краткое содержание: Уилл: Я нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена на время, нев�ена н",Эмма скоро будет дома и сообщит Уиллу.
falcon-7b,d0rj/samsum-ru,0.0,0.0,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Олли: Привет, ты в Варшаве?
Джейн: да, только что вернулась! Кстати, ты свободен на ужин 19-го?
Олли: нет!
Джейн: а 18-е?
Олли: нет, у нас вечеринка, и ты должен быть там, помнишь?
Джейн: о точно! я потерял свой календарь.. спасибо, что напомнили мне
Олли: мы обедаем на этой неделе?
Джейн: с удовольствием!
Олли: пятница?
Джейн: хорошо
Джейн: что ты имеешь в виду под ""у нас больше нет виски!"" ржу не могу..
Олли: что!!!
Джейн: ты только что позвонил мне, и все, что я услышала, это предложение о виски... что с тобой не так?
Олли: о-о... очень странно! я должен быть осторожным, может быть, в моем мобильном телефоне есть какой-то шпион! ржу не могу
Джейн: не войду на него, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприходу, не в�еприход�, н",Джейн в Варшаве. Олли и Джейн устраивают вечеринку. Джейн потеряла свой календарь. На этой неделе они получат обед в пятницу. Олли случайно позвонил Джейн и заговорил о виски. Джейн отменяет обед. Они встретятся за чаем в 6 вечера.
falcon-7b,d0rj/samsum-ru,0.0,0.0,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Бенджамин: Эй, ребята, что мы сегодня делаем с ключами?
Хилари: Они у меня. Кто хочет, может встретиться со мной в обеденное время или после
Эллиот: Я в порядке. В любом случае, мы встретимся вечером, чтобы выпить, и я думаю, мы вернемся в квартиру вместе?
Хилари: Да, наверное.
Дэниел: Я с Хилари и не отпущу ее до конца дня, так что любой вариант, который вы, ребята, выберете, для меня хорош.
Бенджамин: Хм, я мог бы пройти мимо в обеденное время, взять ключи и пойти вздремнуть. Я так устал после вчерашнего
Хилари: Звучит неплохо. Мы пообедаем с французами (теми, кто занимается историей еды в колониальной Мексике — я уже вижу, как ты зеваешь).
Бенджамин: YAAAAAWN 🙊 Где и где вы встречаетесь?
Хилари: Я в Москве, на городской особенности на городской особенности на городской особенности на городской особенности на городской особенности на городской особенности на городской особенности на городской особенности на город",У Хилари есть ключи от квартиры. Бенджамин хочет взять их и пойти вздремнуть. Хилари обедает с французами в La Cantina. Хилари встречает их у входа в конференц-зал в 14:00. Бенджамин и Эллиот могут присоединиться к ним. Они встречаются вечером за напитками.
falcon-7b,d0rj/samsum-ru,0.0,0.0,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Макс: Знаешь хорошие сайты, где можно купить одежду?
Пэйтон: Конечно :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Макс: Их много!
Пэйтон: Да, но у них разные вещи, поэтому я обычно покупаю вещи у 2 или 3 из них.
Макс: Я проверю их. Спасибо.
Пэйтон: Нет проблем :)
Макс: А ты?
Пэйтон: А я?
Макс: Ты любишь ходить по магазинам?
Пэйтон: И да, и нет.
Макс: Как так?
Пэйтон: Мне нравится просматривать, примерять, смотреть в зеркало и видеть, как я выгляжу, но не всегда покупать.
Макс: Нет?
Пэйтон: Разве это не очевидно? ;)
Макс: Сорри ;)
Пэйтон: Если бы я покупала все, что мне нравилось, мне бы не на что было жить ;)
Макс: То же самое здесь, но, вероятно, в�еприходно. Я на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что на что н","Пэйтон предоставляет Максу сайты по продаже одежды. Пэйтон любит просматривать и примерять одежду, но не обязательно ее покупать. Пэйтон обычно покупает одежду и книги, так как любит читать."
falcon-7b,d0rj/samsum-ru,0.18181818181818182,0.18181818181818182,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Рита: Я чертовски устала. Засыпаю на работе. :-(
Тина: Я знаю, что ты имеешь в виду.
Тина: Я продолжаю кивать на своей клавиатуре, надеясь, что босс не заметит..
Рита: Время тянется все дальше и дальше....
Рита: Я продолжаю смотреть на часы, а впереди еще 4 часа этой нудной работы.
Тина: В такие времена я действительно ненавижу свою работу.
Рита: Я действительно не создана для такого уровня скуки.
Тина: Я тоже.
Краткое содержание: Я на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на время на вре�","Рита и Тина скучают на работе, и у них осталось еще 4 часа."
falcon-7b,d0rj/samsum-ru,0.0,0.0,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Беатрис: Я в городе, делаю покупки. У них есть хорошие шарфы в магазине рядом с церковью. Вы хотите один?
Лео: Нет, спасибо
Беатрис: Но у тебя нет шарфа.
Лео: Потому что мне это не нужно.
Беатрис: Прошлой зимой ты постоянно простужался. Шарф может помочь.
Лео: Мне они не нравятся.
Беатрис: Вообще-то мне все равно. Вы получите шарф.
Лео: Какое понимание с твоей стороны!
Беатрис: Ты всю зиму жаловался, что умрешь. У меня было достаточно.
Лео: Эх.
Краткое содержание: Я в городе, делаю покупки. У них есть шарфы в магазине рядом с церковью. Вы хотите один?
Беатрис: Я в городе, делаю покупки. У них есть шарфы в магазине рядом с церковью. Вы хотите один?
Беатрис: Я в городе, делаю покупки. У них есть шарфы в магазине рядом с церко�","Беатрис хочет купить Лео шарф, но он не любит шарфы. Она заботится о его здоровье и купит ему шарф независимо от его мнения."
falcon-7b,d0rj/samsum-ru,0.0,0.0,0.0,"
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.
напишите краткое содержание этого диалога:
Иван: привет Эрик
Эрик: да чувак
Иван: так ты приедешь на свадьбу
Эрик: твоего брата
Иван: да
Эрик: я не знаю манн
Иван: ТЫ НЕ ЗНАЕШЬ??
Эрик: у меня просто много дел дома, плюс я не знаю, разрешат ли мне родители
Иван: я плохо позабочусь о своих родителях
Эрик: ты говоришь мне, что у тебя хватит смелости поговорить с ними XD
Иван: это моя проблема
Эрик: ладно чувак, если ты так говоришь
Иван: да просто будь там
Эрик: хорошо
Краткое содержание:
Я не знаю манн, на свадьбу на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на св� на","Эрик не знает, отпустили ли его родители на свадьбу брата Ивана. Иван поговорит с ними."
