model,dataset,rougeL,rouge1,rouge2,summary,reference
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Ханна хочет, чтобы Аманда дала ей номер Бетти. Аманда не может найти его и предлагает спросить Ларри. Ханна плохо знает Ларри, поэтому она предпочла бы, чтобы Аманда написала ему.","Ханне нужен номер Бетти, но у Аманды его нет. Ей нужно связаться с Ларри."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Эрик и Роб смотрят стендап-шоу, которое им нравится. Они обсуждают его комичность и то, как он разговаривает с машиной.",Эрик и Роб собираются посмотреть стендап на ютубе.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Ленни хочет купить брюки. Боб предлагает ему выбрать первую или третью пару, чтобы у него было больше вариантов одежды.","Ленни не может решить, какие брюки купить. Боб консультировал Ленни по этой теме. Ленни следует совету Боба и выбирает брюки самого высокого качества."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Эмма не голодна, поэтому Уилл не будет готовить ужин. Эмма скоро будет дома и сообщит Уиллу, когда вернется домой.",Эмма скоро будет дома и сообщит Уиллу.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Джейн в Варшаве. Олли не может встретиться с ней 19-го, так как у него вечеринка. Джейн и Олли пообедают на этой неделе в пятницу. Джейн не будет завтра, но она придет к чаю через минуту.",Джейн в Варшаве. Олли и Джейн устраивают вечеринку. Джейн потеряла свой календарь. На этой неделе они получат обед в пятницу. Олли случайно позвонил Джейн и заговорил о виски. Джейн отменяет обед. Они встретятся за чаем в 6 вечера.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Бенджамин хочет взять ключи у Хилари, но она встречается с французами. Бенджамин может пойти вздремнуть после обеда, но Хилари предлагает ему присоединиться к ним и поболтать об их исследованиях.",У Хилари есть ключи от квартиры. Бенджамин хочет взять их и пойти вздремнуть. Хилари обедает с французами в La Cantina. Хилари встречает их у входа в конференц-зал в 14:00. Бенджамин и Эллиот могут присоединиться к ним. Они встречаются вечером за напитками.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Макс ищет хорошие сайты для покупки одежды. Пэйтон рекомендует несколько сайтов и рассказывает Максу, что она обычно покупает одежду и книги.","Пэйтон предоставляет Максу сайты по продаже одежды. Пэйтон любит просматривать и примерять одежду, но не обязательно ее покупать. Пэйтон обычно покупает одежду и книги, так как любит читать."
fred-t5,d0rj/samsum-ru,1.0,1.0,0.0,"Рита и Тина устали на работе. Они кивают на клавиатуре, чтобы босс не заметил их бездействия. Время тянется медленно, а впереди еще 4 часа нудной работы. Рита и Тина ненавидят свою работу.","Рита и Тина скучают на работе, и у них осталось еще 4 часа."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Беатрис в городе и хочет купить шарф. Лео отказывается, потому что ему это не нужно. Беатрис все равно купит его для него.","Беатрис хочет купить Лео шарф, но он не любит шарфы. Она заботится о его здоровье и купит ему шарф независимо от его мнения."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Иван хочет, чтобы Эрик пришел на свадьбу его брата. Эрик не уверен, так как у него много дел дома и он не знает, разрешат ли ему родители. Иван говорит Эрику, что поговорит с ними, если это необходимо.","Эрик не знает, отпустили ли его родители на свадьбу брата Ивана. Иван поговорит с ними."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Ванда хочет устроить вечеринку и просит Джину составить список. Она также хочет, чтобы Джина взяла машину своего отца и пошла с ней за продуктами в пятницу.",Ванда хочет устроить вечеринку. Она просит Джину одолжить машину отца и пойти вместе за продуктами. Они назначили дату на пятницу.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,Мартин выиграл два билета в кино онлайн. Это было организовано киножурналом на Facebook. Они с Эгги пойдут смотреть новый фильм с Редфордом до конца недели.,"Мартин написал небольшой отзыв и выиграл 2 билета в кино на FB. Мартин хочет, чтобы Эгги поехала с ним на этой неделе на новый фильм с Редфордом."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Чарли в классе. Он изучает португальский театр и готовит выступление на польском языке, переведенном на португальский.","Чарли посещает португальский театр как предмет в университете. Он и другие студенты готовят пьесу Мрожека, переведенную на португальский язык."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Том и Элла едут на машине, так как это быстрее.","Элла арендовала машину, это значительно ускорит ее и Тома."
fred-t5,d0rj/samsum-ru,0.6666666666666666,0.6666666666666666,0.0,"Павел ищет кого-то, кто присоединится к семье Netflix. Люк хочет присоединиться к нему и просит Павла прислать ему логин и пароль в воскресенье. Пол также отправит Люку реквизиты банковского счета для ежемесячных переводов денег. Павел находится в отпуске со своей девушкой меньше 8 дней.",Пол собирается поделиться своей учетной записью Netflix с Люком. Взамен Люк внесет свой вклад в подписку. Пол отправит Люку свои банковские реквизиты. Пол в отпуске со своей девушкой до завтра.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Грегу нужно остаться в нерабочее время, но Бетси не может забрать Джонни. Грег попытается что-нибудь придумать позже.","У Грега и Бетси сегодня много работы, поэтому они не могут забрать Джонни из детского сада. Однако настала очередь Грега сделать это. Грег попытается найти решение."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Итан отправляет фотографию Скотту, Тоби и Маршалл смеются над ним.","Итан, Тоби и Маршалл смеются над Скоттом."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Игорь демотивирован, так как у него много работы в период увольнения. Джон советует ему перестать думать и начать делать то, что он должен.","У Игоря много работы в период увольнения, и он чувствует себя демотивированным. Джон думает, что он все равно должен делать то, что должен."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Клара пересматривает «Дорогие белые люди» на Netflix. Нила тоже хочет посмотреть, так как слышала о нем. Клара объясняет, что это радиопередача о чернокожих студентах в вымышленном университете Лиги плюща. Она рассказывает Ниле о некоторых интересных моментах и персонажах. В следующем году должна выйти 3-я серия.",Клара пересматривает «Дорогие белые люди» и настоятельно рекомендует Ниле.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Майк не припарковал машину на улице, поэтому он забрал ее в гараж. Кто-то врезался в похожую красную Хонду, и Майк счастлив, что ему повезло.","Сегодня Майк загнал свою машину в гараж. Эрнест чувствует облегчение, потому что кто-то только что врезался в красную «хонду», похожую на машину Майка."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Бет хочет попробовать себя в косметической терапии. Дейдра предлагает Бет помощь с подготовкой к экзаменам и репетитора, но Бет отказывается. Она хочет попробовать поработать в салоне по субботам. Дейдра соглашается дать ей 10 долларов за сеанс.","Бет хочет организовать выходные для девочек, чтобы отпраздновать 40-летие своей матери. Она также хочет работать в салоне красоты Дейдре. Дейдре предлагает ей несколько часов по субботам в качестве опыта работы. Они договорились о завтрашней встрече."
fred-t5,d0rj/samsum-ru,1.0,1.0,0.0,"Глория считает, что подготовка к экзамену похожа на лотерею. Она советует Эмме прочитать некоторые тексты прошлых лет и сосредоточиться на написании как можно быстрее. У Глории есть 4 часа на все четыре части, но она не может позволить себе перерывов. Эмма собирается прочитать все с сайта.","У Глории скоро экзамен. Он длится 4 часа. Эмма отправила ей ссылку на веб-сайт с некоторыми текстами за предыдущие годы, чтобы она могла лучше подготовиться к экзамену."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Адам беспокоится о Мэй, которая говорит, что у нее депрессия. Карен предложила ей обратиться к специалисту, но она не хочет этого делать. Адам также заметил, что у нее проблемы со сном и она не хочет выходить из квартиры. Карен позвонит подруге-психологу за советом.","Адам и Карен обеспокоены тем, что Мэй страдает депрессией. Карен позвонит своей подруге-психологу и попросит совета."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Энн узнала, что Марк солгал ей о своем возрасте.",Марк солгал Энн о своем возрасте. Марку 40 лет.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Августин, Дарлин, Хизер и Уокер собираются купить измельчитель бумаги для Уортона на его день рождения. Они также планируют вечеринку по этому поводу.","На следующей неделе день рождения Уортона. Августин, Дарлин, Хизер и Уокер хотят купить ему уничтожитель бумаги. Уокер позаботится о том, чтобы Уортон действительно этого хотел."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Олли, Келли и Микки рассказывают о своих самых страшных местах в мире.","Келли боится садовых скульптурных фигурок в Финляндии, лица фигурок ей кажутся болезненными. Для Олли это жуткая деревня Нагоро в Японии."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Мия отправляет Селе фотографию, но она плохо видит номер телефона. Мия переписывает его для нее. Телефон этого человека выключен.","Села позвонила человеку, который не брал трубку."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Эрик и Белла отклонили просьбу клиента. Босс оценил их решение, так как с нетерпением ждет новых клиентов-конкурентов.",Белла и Эрик отклонили просьбу клиента. Их босс оценил это решение. Он приводит новых клиентов.
fred-t5,d0rj/samsum-ru,0.8571428571428571,0.8571428571428571,0.4,"Эмма едет в автобусе, где есть свободные места. Она хочет вздремнуть. Они прибудут в Нью-Йорк около 16:30, если трафик не будет сумасшедшим. Бен разбудит ее около 4.15.",Эмма собирается вздремнуть в конце автобуса до Нью-Йорка. Бен и Эмма будут там около 16:30. Бен разбудит Эмму за 15 минут до их прибытия.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Джесси, Мелвин и Ли хотят сделать рождественский подарок для менее удачливых в этом году. Они решают выбрать одного из списка пожеланий Рождественского фонда помощи женщинам и детям «Убежище».","Джесси, Мелвин, Ли и Максин собираются принять участие в рождественской благотворительной акции фонда Refuge, помогающего женщинам и детям, спасшимся от жестокого обращения."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,Мэри одолжит Картеру пару коробок через час на вокзале.,У Марии закончились деньги. Картер одолжит ей немного через час.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Шарлотта спрашивает Паулу, как произносится название растения «Натальная лилия». Паула отвечает, что это относится к области Зеир Анпина и ударение на втором слоге.",Паула помогла Шарлотте с правильным произношением «Натальная лилия».
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,Джек и Мэй собираются выпить позже.,Джек и Мэй выпьют коктейли позже.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Маргарет просит Джека купить обезболивающее, так как у нее ужасная головная боль.","Маргарет страдает от ужасной головной боли и хочет, чтобы Джек купил ей обезболивающее."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Андрей спрашивает Сержа, забрал ли он киноаппаратуру для сегодняшних съемок. Серж уже едет туда и сообщит Андрею, если у него есть кредитная карта.",Серж едет за оборудованием для сегодняшних съемок. Андрей и Сережа опаздывают с крупной выплатой компании. Серж и Андрей попытаются использовать кредитную карту для оплаты компании.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Дженис хочет подарить своему сыну хомяка на день рождения, но Мартина не одобряет эту идею.",Мартина советует не заводить хомяка.
fred-t5,d0rj/samsum-ru,0.2857142857142857,0.2857142857142857,0.0,"Мэри и Лукас играли в DA. Мэри любит игру, а Дэниел только начал играть.",Мэри играла в DA Inquisition. Лукас играл в DA II. Даниэль начал играть в DA Inquisition.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Джуди не любит Эндрю, потому что он хотел ее трахнуть. Брюс милый и заботливый, но она не чувствует бабочек в животе.","Джуди думает, что ее всегда привлекали плохие парни."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Райли и Джеймс смотрят телепередачу, в которой Хлоя претерпевает метаморфозу.","Райли и Джеймс смотрят по телевизору, как Хлоя претерпевает метаморфозы."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Тина и Ала обсуждают персонал Эмирейта, который выглядит потрясающе. Тина жалуется на задержку рейса в аэропорту и разговорчивого пилота. Аля собирается на встречу.","Тина успеет вернуться домой вечерним рейсом. Алла едет на встречу. Она расскажет Тине, как все прошло."
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Себастьян считает, что прошедший год был лучшим в его жизни. Он научился быть находчивым и ответственным, а также у него есть сила для осуществления своих мечтаний. Рядом с ним любимый человек. Кевин рад за Себастьяна.",Себастьян очень доволен своей жизнью и делится этим счастьем с Кевином.
fred-t5,d0rj/samsum-ru,0.0,0.0,0.0,"Фрэнк хочет, чтобы его сын приехал домой на выходные. Сын не уверен, но постарается. Фрэнк скажет маме, что сын приедет.",Сын приезжает навестить своих родителей на этих выходных.
