model,dataset,rougeL,rouge1,rouge2,summary,reference
saiga_llama3_8b,d0rj/samsum-ru,0.0,0.0,0.0,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Ханна: Эй, у тебя есть номер Бетти?
Аманда: Дай мне проверить
Ханна: <file_gif>
Аманда: Извините, не могу найти.
Аманда: Спроси Ларри
Аманда: Он позвонил ей в прошлый раз, когда мы были вместе в парке.
Ханна: я плохо его знаю
Ханна: <file_gif>
Аманда: Не стесняйся, он очень милый.
Ханна: Если ты так говоришь...
Ханна: Я бы предпочла, чтобы ты написал ему
Аманда: Просто напиши ему 🙂
Ханна: Угу.. Хорошо.
Ханна: Пока
Аманда: До свидания
assistant
Краткое содержание: 
Ханна спрашивает у Аманды номер телефона Бетти, но та говорит проверить свой контактный список. Когда они не находят номер, Аманда предлагает попросить Ларри, который недавно общался с ней. Ханна чувствует себя неловко об этом и предпочитает, чтобы Аманда сама отправила сообщение. Аманда убеждает её, что это ничего страшного, и настаивает на том, чтобы Ханна сделала это самостоятельно. После согласия Ханны, она благодарит ее за помощь и прощается.","Ханне нужен номер Бетти, но у Аманды его нет. Ей нужно связаться с Ларри."
saiga_llama3_8b,d0rj/samsum-ru,0.0,0.0,0.0,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Эрик: МАШИНА!
Роб: Это так здорово!
Эрик: Я знаю! И показывает, как американцы видят русских ;)
Роб: И это действительно смешно!
Эрик: Я знаю! Мне особенно нравится часть поезда!
Роб: Ха-ха-ха! Никто так с машиной не разговаривает!
Эрик: Это его единственный стендап?
Роб: ИДК. Я проверю.
Эрик: Конечно.
Роб: Оказывается, нет! На ютубе есть несколько его стендапов.
Эрик: Гр8! Я буду смотреть их сейчас!
Роб: Я тоже!
Эрик: МАШИНА!
Роб: МАШИНА!
Эрик: ТТИЛ?
Роб: Конечно :)
assistant
Краткое содержание: Эрик и Роб обсуждают стендап комедианта МАШИНА (Михаил Андронов). Они шутят о его уникальном стиле выступления и находят его веселым. Роб делает открытие, что на Ютубе больше его стендапов, чем они думали, и обещают посмотреть их вместе. Завершается диалог эмоциональными приветствиями ""МАШИНА!"" и ""Конечно :)"".",Эрик и Роб собираются посмотреть стендап на ютубе.
saiga_llama3_8b,d0rj/samsum-ru,0.0,0.0,0.0,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Ленни: Детка, ты можешь мне чем-нибудь помочь?
Боб: Конечно, что случилось?
Ленни: Какой выбрать?
Боб: пришли мне фотографии
Ленни: <file_photo>
Ленни: <file_photo>
Ленни: <file_photo>
Боб: Мне больше нравятся первые
Ленни: Но у меня уже есть фиолетовые брюки. Есть ли смысл иметь две пары?
Боб: У меня есть четыре черные пары :D :D
Ленни: да, но разве я не должен выбрать другой цвет?
Боб: важно то, что вы предоставите вам больше всего вариантов одежды
Ленни: Тогда, наверное, я куплю первую или третью пару.
Боб: Тогда выбери лучшее качество
Ленни: ты прав, спасибо
Боб: без проблем :)
assistant
Краткое содержание: Ленни задает вопрос о том, какую партию брюк выбрать из предложенных фотографий (file_photo1, file_photo2, file_photo3), Боб рекомендует первые, так как они ему больше нравятся. Ленни опасается покупать два одинаковых цвета (фиолетовый) и рассматривает вариант с другими цветами. Боб говорит, что наличие нескольких пар позволяет расширить выбор одежды. Ленни выбирает между первой и третьей парой, учитывая качество. Боб поддерживает правильность такого решения.","Ленни не может решить, какие брюки купить. Боб консультировал Ленни по этой теме. Ленни следует совету Боба и выбирает брюки самого высокого качества."
saiga_llama3_8b,d0rj/samsum-ru,0.0,0.0,0.0,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Уилл: Привет, детка, что ты хочешь сегодня на ужин?
Эмма: хах, даже не волнуйся об этом сегодня вечером
Уилл: что ты имеешь в виду? все в порядке?
Эмма: не совсем, но все в порядке, не беспокойся о готовке, я не голодна
Уилл: Хорошо, во сколько ты будешь дома?
Эмма: скоро, надеюсь
Уилл: ты уверен? Может быть, ты хочешь, чтобы я забрал тебя?
Эмма: нет, нет, все в порядке. Я скоро буду дома, я скажу вам, когда я вернусь домой.
Уилл: Хорошо, люблю тебя.
Эмма: я тоже люблю тебя.
assistant
Краткое содержание: Уилл интересуется тем, чем займет Эмма на ужин. Она отвечает, что не голодна и просит не беспокоиться, а также говорит, что скоро вернется домой, но уточняет, когда именно. Уилл предлагает забрать ее, но Эмма отказывается, заверяя, что все в порядке. Обмениваются взаимными заботой и любовью.",Эмма скоро будет дома и сообщит Уиллу.
saiga_llama3_8b,d0rj/samsum-ru,0.07999999999999999,0.07999999999999999,0.0,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Олли: Привет, ты в Варшаве?
Джейн: да, только что вернулась! Кстати, ты свободен на ужин 19-го?
Олли: нет!
Джейн: а 18-е?
Олли: нет, у нас вечеринка, и ты должен быть там, помнишь?
Джейн: о точно! я потерял свой календарь.. спасибо, что напомнили мне
Олли: мы обедаем на этой неделе?
Джейн: с удовольствием!
Олли: пятница?
Джейн: хорошо
Джейн: что ты имеешь в виду под ""у нас больше нет виски!"" ржу не могу..
Олли: что!!!
Джейн: ты только что позвонил мне, и все, что я услышала, это предложение о виски... что с тобой не так?
Олли: о-о... очень странно! я должен быть осторожным, может быть, в моем мобильном телефоне есть какой-то шпион! ржу не могу
Джейн: не волнуйся, мы проверим в пятницу.
Олли: не забудь взять с собой немного солнца
Джейн: Я не могу дождаться, чтобы быть в Марокко..
Олли: наслаждайся и увидимся в пятницу
Джейн: прости, Олли, я очень занята, у меня не будет времени на обед завтра, но, может быть, я буду в 6 вечера после занятий? Эта поездка в Марокко была такой приятной, но отнявшей много времени!
Олли: хорошо к чаю!
Джейн: Я иду..
Олли: чай готов, ты принесла пирожные?
Джейн: Я уже съела их все... увидимся через минуту.
Олли: хорошо
assistant
Краткое содержание: 
1. Джейн сообщает Олли, что она вернулась из Варшавы.
2. Олли отказывается на ужин 19-го, предлагает встречу на другой день (18-е).
3. Джейн уточняет, что на 18-м также запланирована вечеринка, которую он должен посетить.
4. Олли напоминает ей о том, что они будут обедать вместе на этой неделе.
5. Они решают провести обед 18-го.
6. Олли говорит Джейн, что в его мобильном телефоне возможно установлен шпионский программный продукт, что вызывает у него беспокойство.
7. Джейн предлагает проверить этот вопрос 18-го.
8. Олли просит Джейн взять с собой немного солнца во время поездки в Марокко.
9. Джейн подтверждает, что она не сможет присутствовать на обеде в назначенное время из-за занятости.
10. Она предлагает встретиться с ним в 18:00 после занятий.
11. Олли приглашает её к себе дом",Джейн в Варшаве. Олли и Джейн устраивают вечеринку. Джейн потеряла свой календарь. На этой неделе они получат обед в пятницу. Олли случайно позвонил Джейн и заговорил о виски. Джейн отменяет обед. Они встретятся за чаем в 6 вечера.
saiga_llama3_8b,d0rj/samsum-ru,0.47058823529411764,0.47058823529411764,0.26666666666666666,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Бенджамин: Эй, ребята, что мы сегодня делаем с ключами?
Хилари: Они у меня. Кто хочет, может встретиться со мной в обеденное время или после
Эллиот: Я в порядке. В любом случае, мы встретимся вечером, чтобы выпить, и я думаю, мы вернемся в квартиру вместе?
Хилари: Да, наверное.
Дэниел: Я с Хилари и не отпущу ее до конца дня, так что любой вариант, который вы, ребята, выберете, для меня хорош.
Бенджамин: Хм, я мог бы пройти мимо в обеденное время, взять ключи и пойти вздремнуть. Я так устал после вчерашнего
Хилари: Звучит неплохо. Мы пообедаем с французами (теми, кто занимается историей еды в колониальной Мексике — я уже вижу, как ты зеваешь).
Бенджамин: YAAAAAWN 🙊 Где и где вы встречаетесь?
Хилари: Итак, я встречу их у входа в конференц-зал в 14:00, а затем мы отправимся в это место под названием La Cantina. Итальянская кухня, довольно забавная, но они выбрали именно ее
Бенджамин: Интересно 😱 Если честно, Хилари, мне почти хочется передумать. Желание вздремнуть может в конечном итоге стоить мне дорогой
Хилари: Да ладно 😂
Бенджамин: Все эти ужасные препятствия на моем пути ко сну могут оказаться слишком большими.
Хилари: Мы постараемся не говорить об их предмете исследования. О, подождите, нет, я на самом деле встречаюсь с ними, потому что я хотел поговорить об их исследованиях, лол.
Эллиот: 🙉
Хилари: Присоединяйтесь к нам, нам будет весело. А потом ты возьмешь ключи и вздремнешь в самый заслуженный сон.
Эллиот: Звучит как план 😂
Хилари: 😎
Эллиот: Увидимся в 2, затем в хх.
assistant
Краткое содержание: 
Группа друзей обсуждает, что делать с ключами и планирует встречу во второй половине дня. Бенджамин решает пропустить встречу ради сна, Хилари предлагает встретиться и позже взять ключи. Друзья соглашаются встретиться вечером. Бенджамин принимает решение присоединиться к ним, чтобы провести время и затем вздремнуть. Все вместе собираются в конференц-зале в 14:00 и затем идут в ресторан La Cantina, где будут обсуждать исследования французских ученых.",У Хилари есть ключи от квартиры. Бенджамин хочет взять их и пойти вздремнуть. Хилари обедает с французами в La Cantina. Хилари встречает их у входа в конференц-зал в 14:00. Бенджамин и Эллиот могут присоединиться к ним. Они встречаются вечером за напитками.
saiga_llama3_8b,d0rj/samsum-ru,0.0,0.0,0.0,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Макс: Знаешь хорошие сайты, где можно купить одежду?
Пэйтон: Конечно :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Макс: Их много!
Пэйтон: Да, но у них разные вещи, поэтому я обычно покупаю вещи у 2 или 3 из них.
Макс: Я проверю их. Спасибо.
Пэйтон: Нет проблем :)
Макс: А ты?
Пэйтон: А я?
Макс: Ты любишь ходить по магазинам?
Пэйтон: И да, и нет.
Макс: Как так?
Пэйтон: Мне нравится просматривать, примерять, смотреть в зеркало и видеть, как я выгляжу, но не всегда покупать.
Макс: Нет?
Пэйтон: Разве это не очевидно? ;)
Макс: Сорри ;)
Пэйтон: Если бы я покупала все, что мне нравилось, мне бы не на что было жить ;)
Макс: То же самое здесь, но, вероятно, в другой категории ;)
Пэйтон: лол
Макс: Так что ты обычно покупаешь?
Пэйтон: Ну, у меня есть 2 вещи, которым я должна изо всех сил сопротивляться!
Макс: Какие?
Пэйтон: Одежда, конечно ;)
Макс: Верно. А второй?
Пэйтон: Книги. Я очень люблю читать!
Макс: Гр8! Какие книги ты читаешь?
Пэйтон: Все, до чего я могу дотянуться :)
Макс: Серьезно?
Пэйтон: Ага :)
assistant
Краткое содержание: Диалог между Максом и Пэйтон касается рекомендации сайтов для покупки одежды, предпочтений Пэйтон по отношению к покупке и её любовь к чтению книг.","Пэйтон предоставляет Максу сайты по продаже одежды. Пэйтон любит просматривать и примерять одежду, но не обязательно ее покупать. Пэйтон обычно покупает одежду и книги, так как любит читать."
saiga_llama3_8b,d0rj/samsum-ru,0.4,0.4,0.0,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Рита: Я чертовски устала. Засыпаю на работе. :-(
Тина: Я знаю, что ты имеешь в виду.
Тина: Я продолжаю кивать на своей клавиатуре, надеясь, что босс не заметит..
Рита: Время тянется все дальше и дальше....
Рита: Я продолжаю смотреть на часы, а впереди еще 4 часа этой нудной работы.
Тина: В такие времена я действительно ненавижу свою работу.
Рита: Я действительно не создана для такого уровня скуки.
Тина: Я тоже.
assistant
Краткое содержание: Рита и Тина обмениваются о том, как они чувствуют себя во время работы и испытывают усталость, скучность и желание заснуть на рабочем месте. Обе признают, что работа стала неприемлемой по времени и уровню интересности.","Рита и Тина скучают на работе, и у них осталось еще 4 часа."
saiga_llama3_8b,d0rj/samsum-ru,0.0,0.0,0.0,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Беатрис: Я в городе, делаю покупки. У них есть хорошие шарфы в магазине рядом с церковью. Вы хотите один?
Лео: Нет, спасибо
Беатрис: Но у тебя нет шарфа.
Лео: Потому что мне это не нужно.
Беатрис: Прошлой зимой ты постоянно простужался. Шарф может помочь.
Лео: Мне они не нравятся.
Беатрис: Вообще-то мне все равно. Вы получите шарф.
Лео: Какое понимание с твоей стороны!
Беатрис: Ты всю зиму жаловался, что умрешь. У меня было достаточно.
Лео: Эх.
assistant
Краткое содержание: Беатрис предлагает Лео купить шарф из магазина рядом с церковью, но Лео отказывается, объясняя, что ему он не нужен, потому что ему не нравится этот вид аксессуаров. Беатрис напоминает о том, что Лео часто простужался в прошлом и шарф мог бы помочь, однако Лео остаётся непреклонен. Беатрис, недовольная, решает подарить ему шарф, говоря, что ей все равно, а Лео выражает удивление и недоумение по поводу её поступка.","Беатрис хочет купить Лео шарф, но он не любит шарфы. Она заботится о его здоровье и купит ему шарф независимо от его мнения."
saiga_llama3_8b,d0rj/samsum-ru,0.0,0.0,0.0,"system
Вы — ассистент для написания краткого содержания диалогов. Вам будет дан диалог, и ты должен создать его краткое содержание. Содержание должно включать всю важную информацию, быть коротким и лаконичным. В нем не должно быть лишней информации или данных, не относящихся к диалогу.user
напишите краткое содержание этого диалога:
Иван: привет Эрик
Эрик: да чувак
Иван: так ты приедешь на свадьбу
Эрик: твоего брата
Иван: да
Эрик: я не знаю манн
Иван: ТЫ НЕ ЗНАЕШЬ??
Эрик: у меня просто много дел дома, плюс я не знаю, разрешат ли мне родители
Иван: я плохо позабочусь о своих родителях
Эрик: ты говоришь мне, что у тебя хватит смелости поговорить с ними XD
Иван: это моя проблема
Эрик: ладно чувак, если ты так говоришь
Иван: да просто будь там
Эрик: хорошо
assistant
Краткое содержание: Иван приглашает Эрика на свою свадьбу (будущую свадьбу своего брата), Эрик отказывается из-за отсутствия разрешения у родителей и обременительных домашних дел. Иван предлагает взять ответственность за переговоры с родителями, но Эрик выражает сомнение в его способности решиться на это. Иван упрекает Эрика и просит прийти, а тот соглашается.","Эрик не знает, отпустили ли его родители на свадьбу брата Ивана. Иван поговорит с ними."
